data,PmGdaLeczkow,PmGdaPowWars,PmGdaWyzwole,PmGdyPorebsk,PmGdySzafran,PmSopBiPlowoc,Average
1/1/21 1:00,0.575871,0.454298,0.469514,0.678853,-1,0.496475,0.5350021999999999
1/1/21 2:00,0.526388,0.429861,0.450909,0.594531,-1,0.463756,0.493089
1/1/21 3:00,0.500336,0.415257,0.425977,0.591403,-1,0.423656,0.47132579999999996
1/1/21 4:00,0.490865,0.400123,0.416217,0.556158,-1,0.422992,0.457271
1/1/21 5:00,0.489071,0.392067,0.400059,0.517379,-1,0.437119,0.44713899999999995
1/1/21 6:00,0.482925,0.371925,0.377579,0.490193,-1,0.429015,0.4303274
1/1/21 7:00,0.470678,0.365548,0.369716,0.486448,-1,0.431833,0.42484459999999996
1/1/21 8:00,0.462815,0.365162,0.378228,0.485763,-1,0.430602,0.424514
1/1/21 9:00,0.455439,0.36145,0.381302,0.496883,-1,0.430534,0.42512159999999993
1/1/21 10:00,0.445927,0.340431,0.377932,0.530263,-1,0.406794,0.4202694
1/1/21 11:00,0.442811,0.342886,0.381019,0.549126,-1,0.40137,0.42344240000000005
1/1/21 12:00,0.454763,0.343756,0.393116,0.528211,-1,0.397535,0.42347619999999997
1/1/21 13:00,0.458769,0.355363,0.38769,0.587877,-1,0.418437,0.4416272
1/1/21 14:00,0.461566,0.35564,0.383478,0.590024,-1,0.426805,0.44350259999999997
1/1/21 15:00,0.475981,0.376043,0.387172,0.622188,-1,0.4343,0.4591368
1/1/21 16:00,0.472731,0.370833,0.399486,0.544182,-1,0.446701,0.4467866
1/1/21 17:00,0.458432,0.377506,0.419891,0.57761,-1,0.436682,0.4540242
1/1/21 18:00,0.478624,0.402133,0.403917,0.664534,-1,0.440129,0.47786740000000005
1/1/21 19:00,0.493007,0.385507,0.392127,0.628557,-1,0.472755,0.4743906
1/1/21 20:00,0.489236,0.423667,0.413993,0.614368,-1,0.470203,0.4822934
1/1/21 21:00,0.48159,0.399562,0.412232,0.581263,-1,0.455064,0.46594220000000003
1/1/21 22:00,0.47575,0.384853,0.391497,0.543734,-1,0.425157,0.44419820000000004
1/1/21 23:00,0.497535,0.423477,0.417725,-1,-1,0.463723,0.360492
1/2/21 0:00,0.522788,0.473106,0.485327,0.556723,-1,0.484425,0.5044738
1/2/21 1:00,0.533868,0.469117,0.472183,0.533012,-1,0.475566,0.4967492000000001
1/2/21 2:00,0.516822,0.417001,0.459766,0.531238,-1,0.482287,0.4814228
1/2/21 3:00,0.545007,0.46439,0.481783,0.563309,-1,0.510243,0.5129464
1/2/21 4:00,0.567848,0.493245,0.499481,0.510519,-1,0.531889,0.5205964000000001
1/2/21 5:00,0.579343,0.520682,0.50063,0.552019,-1,0.531141,0.536763
1/2/21 6:00,0.586041,0.537086,0.32178,0.613455,-1,0.54762,0.5211964
1/2/21 7:00,0.601351,0.547423,0.524677,0.655917,-1,0.578854,0.5816444000000001
1/2/21 8:00,0.625127,0.561585,0.544636,0.60164,-1,0.582889,0.5831754
1/2/21 9:00,0.625153,0.557364,0.56453,0.55122,-1,0.601129,0.5798792
1/2/21 10:00,0.622203,0.558691,0.571189,0.604833,-1,0.585741,0.5885314
1/2/21 11:00,0.611312,0.565577,0.578175,0.57122,-1,0.569599,0.5791765999999999
1/2/21 12:00,0.614893,0.542558,0.580361,0.515825,-1,0.555974,0.5619221999999999
1/2/21 13:00,0.56787,0.485885,0.533379,0.529431,-1,0.474405,0.518194
1/2/21 14:00,0.551535,0.485289,0.502899,0.518467,-1,0.436565,0.4989509999999999
1/2/21 15:00,0.564328,0.514776,0.503164,0.535916,-1,0.437588,0.5111543999999999
1/2/21 16:00,0.583609,0.524117,0.52054,0.550798,-1,0.479683,0.5317494
1/2/21 17:00,0.554791,0.480343,0.493211,0.640199,-1,0.507538,0.5352164
1/2/21 18:00,0.555311,0.459869,0.509599,0.734222,-1,-1,0.4518002
1/2/21 19:00,0.557463,0.437832,0.489643,0.721707,-1,0.521178,0.5455646
1/2/21 20:00,0.570886,0.436763,0.441056,0.83591,-1,0.472085,0.5513399999999999
1/2/21 21:00,0.536868,0.420129,0.428027,0.672516,-1,0.48327,0.508162
1/2/21 22:00,0.531448,0.411127,0.442422,0.787976,-1,0.436589,0.5219123999999999
1/2/21 23:00,0.531227,0.483221,0.492783,0.672309,-1,0.423142,0.5205364
1/3/21 0:00,0.568775,0.465179,0.478843,0.660925,-1,0.435223,0.521789
1/3/21 1:00,0.58269,0.486678,0.491431,0.62009,-1,0.472134,0.5306046
1/3/21 2:00,0.553236,0.420816,0.444272,0.662208,-1,0.522271,0.5205605999999999
1/3/21 3:00,0.524094,0.39169,0.412231,0.549253,-1,0.484031,0.47225979999999995
1/3/21 4:00,0.482297,0.355392,0.40661,0.474307,-1,0.424337,0.4285886
1/3/21 5:00,0.473672,0.346489,0.406471,0.417843,-1,0.400921,0.4090792
1/3/21 6:00,0.478048,0.366634,0.394464,0.466733,-1,0.368736,0.41492300000000004
1/3/21 7:00,0.482243,0.363164,0.397916,0.364722,-1,0.331688,0.3879466
1/3/21 8:00,0.440632,0.313497,-1,0.341802,-1,0.330553,0.28529679999999996
1/3/21 9:00,0.418342,-1,0.332715,0.349765,-1,0.33177,0.2865184
1/3/21 10:00,0.415918,0.283923,0.322352,0.345207,-1,0.337505,0.340981
1/3/21 11:00,0.410352,0.271321,0.308728,0.33776,-1,0.314144,0.328461
1/3/21 12:00,0.405562,0.269297,0.311174,0.321307,-1,0.317987,0.3250654
1/3/21 13:00,0.401738,0.260133,0.323175,0.325157,-1,0.302387,0.32251799999999997
1/3/21 14:00,0.407707,0.261893,0.318662,0.312198,-1,0.299069,0.3199058
1/3/21 15:00,0.405956,0.264184,0.31314,0.302796,-1,0.297755,0.3167662
1/3/21 16:00,0.416452,0.257069,0.306993,0.300374,-1,0.292167,0.31461100000000003
1/3/21 17:00,0.402384,0.25432,0.298029,0.291345,-1,0.298795,0.3089746
1/3/21 18:00,0.397649,0.253766,0.297873,0.291832,-1,0.298777,0.3079794
1/3/21 19:00,0.399744,0.255796,0.299576,0.292417,-1,0.303356,0.3101778
1/3/21 20:00,0.403308,0.264106,0.30204,0.310793,-1,0.315774,0.3192042
1/3/21 21:00,0.404542,0.271382,0.307473,0.307064,-1,0.31983,0.3220582
