data,PmGdaLeczkow,PmGdaPowWars,PmGdaWyzwole,PmGdyPorebsk,PmGdySzafran,PmSopBiPlowoc
1/1/21 1:00,17.6432,12.6287,17.488,15.9011,11.7681,17.3142
1/1/21 2:00,12.4997,11.6136,17.8546,9.8578,14.2604,13.0892
1/1/21 3:00,12.319,11.6506,13.5368,5.36565,11.5333,12.3378
1/1/21 4:00,12.5371,10.791,13.4722,4.12087,10.7537,12.0439
1/1/21 5:00,11.8566,9.48394,12.2665,5.48132,10.0661,11.7703
1/1/21 6:00,10.6419,8.60017,10.7159,-1,9.79509,11.4536
1/1/21 7:00,9.83112,9.48302,10.4298,8.24164,9.16061,10.7734
1/1/21 8:00,10.5896,10.0271,10.5238,16.7877,9.5751,11.4892
1/1/21 9:00,10.0188,9.42952,10.6641,18.5524,9.5379,11.4482
1/1/21 10:00,7.8922,7.02798,8.1938,13.036,10.4423,11.5253
1/1/21 11:00,8.81307,7.70537,9.8863,13.6669,9.99596,9.68988
1/1/21 12:00,9.39078,8.35921,9.26286,14.5404,9.17974,10.4221
1/1/21 13:00,9.80485,8.29143,10.3577,21.2449,10.0294,10.3244
1/1/21 14:00,10.0212,8.36359,9.75871,13.2029,9.17815,10.6687
1/1/21 15:00,11.1377,9.5852,7.1259,16.2346,12.3022,10.6352
1/1/21 16:00,10.961,10.4682,11.1552,14.8329,13.1598,13.4117
1/1/21 17:00,10.9358,13.3551,15.7366,13.6136,9.16221,12.4483
1/1/21 18:00,13.3983,13.37,12.0653,14.928,9.17018,13.1992
1/1/21 19:00,14.2955,11.7808,13.3006,13.7756,9.00332,14.9841
1/1/21 20:00,14.0707,14.3584,19.6918,14.9347,8.18658,15.3013
1/1/21 21:00,12.0876,12.7355,19.0877,14.8863,8.18445,12.773
1/1/21 22:00,10.3015,10.3713,17.5767,14.702,9.87267,10.5762
1/1/21 23:00,12.356,12.7736,23.1205,15.1518,9.72973,12.1832
1/2/21 0:00,14.8936,13.8277,23.6584,18.0746,10.8063,13.4383
1/2/21 1:00,13.1583,12.0044,21.4015,16.4152,10.8866,11.6438
