Year,Month,Day,Hour,Temp,Destination,Wind,Clouds
2021,6,1,6,13.0,  N,1,7
2021,6,1,12,15.4, NE,5,7
2021,6,1,18,12.2, NE,2,7
2021,6,2,6,15.4, SE,3,1
2021,6,2,12,20.3,ESE,5,4
2021,6,2,18,16.0,ENE,4,1
2021,6,3,6,16.9,NNE,1,0
2021,6,3,12,21.0,ENE,4,3
2021,6,3,18,16.8,ENE,2,1
2021,6,4,6,17.1,  C,0,7
2021,6,4,12,21.5,  E,3,7
2021,6,4,18,18.4,ENE,3,7
2021,6,5,6,16.9,NNE,1,5
2021,6,5,12,20.5,ENE,4,1
2021,6,5,18,16.7,ENE,3,0
2021,6,6,6,16.4,NNW,1,1
2021,6,6,12,21.3,ENE,3,5
2021,6,6,18,18.2,ENE,2,1
2021,6,7,6,19.1,WNW,3,1
2021,6,7,12,21.5, NE,4,1
2021,6,7,18,18.7, NE,2,0
2021,6,8,6,19.4,  N,2,1
2021,6,8,12,22.4,ENE,4,3
2021,6,8,18,19.5,  N,3,1
2021,6,9,6,16.8,WNW,4,1
2021,6,9,12,22.1,ENE,4,3
2021,6,9,18,18.9, NW,6,1
2021,6,10,6,17.6,WNW,4,0
2021,6,10,12,22.2, NW,5,4
2021,6,10,18,18.3, NW,5,6
2021,6,11,6,18.3,WNW,3,1
2021,6,11,12,21.0,ENE,3,6
2021,6,11,18,19.0, SE,1,7
2021,6,12,6,19.5,  W,5,7
2021,6,12,12,14.8,  W,4,8
2021,6,12,18,15.1,WNW,9,6
2021,6,13,6,14.6,WNW,8,6
2021,6,13,12,17.7,WNW,10,2
2021,6,13,18,16.0,WNW,8,1
2021,6,14,6,15.3,  W,3,1
2021,6,14,12,22.4,  W,5,1
2021,6,14,18,16.8, NE,3,1
2021,6,15,6,18.4,  W,4,7
2021,6,15,12,18.8,WNW,4,8
2021,6,15,18,16.0, NW,5,1
2021,6,16,6,15.5,WNW,4,1
2021,6,16,12,18.6,ENE,4,1
2021,6,16,18,15.5,ENE,3,0
2021,6,17,6,18.2, SE,2,0
2021,6,17,12,26.0,SSE,4,1
2021,6,17,18,24.6, SE,4,0
2021,6,18,6,21.8,SSE,3,0
2021,6,18,12,28.5,SSE,4,0
2021,6,18,18,27.6, SE,3,0
2021,6,19,6,24.3,SSE,1,0
2021,6,19,12,30.4,SSE,8,1
2021,6,19,18,28.2,SSE,5,0
2021,6,20,6,26.1,SSW,4,2
2021,6,20,12,29.9,SSE,5,1
2021,6,20,18,27.9, SE,5,6
2021,6,21,6,24.8,SSE,3,2
2021,6,21,12,31.1,SSE,5,1
2021,6,21,18,29.3,SSE,2,5
2021,6,22,6,24.6, SE,2,6
2021,6,22,12,23.7,ENE,4,7
2021,6,22,18,19.0,WNW,4,7
2021,6,23,6,16.8,WNW,3,6
2021,6,23,12,22.6,ENE,5,2
2021,6,23,18,18.1, NE,2,7
2021,6,24,6,18.6,NNE,1,7
2021,6,24,12,19.9,ENE,3,7
2021,6,24,18,17.7,NNE,1,7
2021,6,25,6,18.1,WNW,5,6
2021,6,25,12,21.2,WNW,5,7
2021,6,25,18,19.4, NW,5,7
2021,6,26,6,17.5,WNW,5,1
2021,6,26,12,20.1,WNW,6,6
2021,6,26,18,18.8, NW,6,5
2021,6,27,6,16.4,WSW,3,7
2021,6,27,12,22.1,NNW,5,7
2021,6,27,18,19.5,  C,0,6
2021,6,28,6,18.3,WNW,4,2
2021,6,28,12,23.0,ENE,4,4
2021,6,28,18,19.1,  E,3,1
2021,6,29,6,19.9,  W,2,1
2021,6,29,12,24.9,ENE,4,3
2021,6,29,18,22.9,ENE,3,5
2021,6,30,6,22.6,ESE,3,7
2021,6,30,12,24.8,  E,5,7
2021,6,30,18,19.6, SE,2,6
