,data,PmGdaLeczkow,PmGdaPowWars,PmGdaWyzwole,PmGdyPorebsk,PmGdySzafran,PmSopBiPlowoc
5,1/1/21 1:00,75.9256,33.5581,31.8275,82.2593,48.8244,0
6,1/1/21 2:00,38.8864,20.8089,32.4428,53.8933,43.2836,0
7,1/1/21 3:00,32.0456,19.5633,20.1326,46.3933,37.5906,0
8,1/1/21 4:00,32.8397,15.3381,16.8467,35.1774,36.6756,0
9,1/1/21 5:00,40.4011,17.6128,21.4975,30.6656,30.46,0
10,1/1/21 6:00,32.7256,6.67056,12.2151,25.5374,23.3181,0
11,1/1/21 7:00,27.9192,8.50083,4.63522,22.7649,21.7614,0
12,1/1/21 8:00,25.5756,6.84861,13.2264,22.9722,23.8253,0
13,1/1/21 9:00,25.2564,9.77333,12.6449,24.0165,23.5042,0
14,1/1/21 10:00,22.2364,10.1031,8.04956,37.4237,23.3967,0
15,1/1/21 11:00,20.2814,6.17972,16.3397,43.5547,24.0294,0
16,1/1/21 12:00,22.7283,12.4667,8.78894,39.9103,19.6881,0
17,1/1/21 13:00,22.5042,13.0661,8.94861,34.4903,20.9672,0
18,1/1/21 14:00,23.7661,10.9528,9.16917,33.7653,19.36,0
19,1/1/21 15:00,25.2589,11.9531,4.54333,52.3489,21.4622,0
20,1/1/21 16:00,26.9103,15.4172,13.2157,35.3412,27.0358,0
21,1/1/21 17:00,24.2628,16.0917,12.8108,40.9571,26.04,0
22,1/1/21 18:00,31.0636,20.34,10.6122,47.826,27.7664,0
23,1/1/21 19:00,36.9922,22.8108,14.0291,49.8173,28.8364,0
24,1/1/21 20:00,37.5425,30.035,21.9329,44.9763,28.0675,0
25,1/1/21 21:00,36.3831,27.1308,25.8787,42.8529,28.6414,0
26,1/1/21 22:00,29.5611,21.4461,17.1142,38.8249,25.6842,0
27,1/1/21 23:00,30.4597,22.555,21.4969,46.7465,25.7256,0
28,1/2/21 0:00,33.6147,24.6786,17.8064,35.5978,25.4483,0
